"Title","Hull","Class %23","Hull %23","COM Date","TYCOM","FLT","Last Insp Date","Sked Next Inspection","Months from Last Insp/MI","OVERDUE REASON","Overdue_OLD","ACTIVE/INACTIVE","Battle Force","HomePort","UIC","NVR","Waivers","Remarks","AT Date","FCT Date","CT DATE","GMI","MI / SMART 1","MI / SMART 2","MI / SMART 3","MI / SMART 4","MI / SMART 5","MI / SMART 6","MI / SMART 7","MI / SMART 8","MI / SMART 9","MI / SMART 10","Survey","NEP","IT","C51","C51","AT2","C51","C51","FC2","MCI 1","PRT","DECOM Date","SCHEDULED","OVERDUE","CURRENT ORFP PHASE","PHASE MI Scheduled In","CONCERNS/RISKS","Ship Folder"
"KIDD","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 100","6/8/2007 9:00 PM","[""CNSP""]","[""C3F""]","5/14/2023 9:00 PM","10/17/2027 9:00 PM","32","[""2""]",,"[""ACTIVE""]","[""YES""]","[""EVERETT, WA""]","23152","[""PAC""]",,,"11/16/2006 9:00 PM","11/1/2007 9:00 PM",,,"8/1/2013 9:00 PM","9/11/2019 9:00 PM","5/14/2023 9:00 PM",,,,,,,,,,,,,,,,,,,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG100_KIDD?csf=1&web=1&e=KysVFG"
"ZUMWALT","[""DDG""]","[""DDG 1000""]","DDG 1000","9/6/2016 9:00 PM","[""CNSP""]","[""C3F""]","11/1/2022 9:00 PM","3/29/2026 9:00 PM","38","[""1""]",,"[""ACTIVE""]","[""YES""]","[""PASCAGOULA, MS""]","20121","[""PAC""]",,,"4/21/2016 9:00 PM","11/1/2022 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG100_KIDD/DDG%201000%20_%20ZUMWALT?csf=1&web=1&e=g0TCgV"
"MICHAEL MONSOOR","[""DDG""]","[""DDG 1000""]","DDG 1001","1/25/2019 9:00 PM","[""CNSP""]","[""C3F""]","9/18/2023 9:00 PM","4/26/2026 9:00 PM","28","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","23189","[""PAC""]",,,"1/28/2018 9:00 PM","9/18/2023 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG1001_MICHAEL_MONSOOR?csf=1&web=1&e=E9go4b"
"LYNDON B. JOHNSON","[""DDG""]","[""DDG 1000""]","DDG 1002",,"[""CNSP""]",,,,,,"OVERDUE",,,"[""PASCAGOULA, MS""]","41163","[""UNDER CONSTRUCTION""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"GRIDLEY","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 101","2/9/2007 9:00 PM","[""CNSP""]","[""C3F""]","8/15/2024 9:00 PM","7/16/2028 9:00 PM","17","[""2""]",,"[""ACTIVE""]","[""YES""]","[""EVERETT, WA""]","23151","[""PAC""]",,,"8/16/2006 9:00 PM","7/19/2007 9:00 PM",,,"3/22/2012 9:00 PM","10/3/2018 9:00 PM","8/15/2024 9:00 PM",,,,,,,,,,,,,,,,,,,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG101_GRIDLEY?csf=1&web=1&e=WLrqJ4"
"SAMPSON","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 102","11/2/2007 9:00 PM","[""CNSP""]","[""C3F""]","12/12/2019 9:00 PM","5/10/2026 9:00 PM","73","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""EVERETT, WA""]","23161","[""PAC""]",,,"4/26/2007 9:00 PM","5/8/2008 9:00 PM",,,"2/28/2013 9:00 PM","6/7/2017 9:00 PM","12/12/2019 9:00 PM",,,,,,,,,,,,,,,,,"6/9/2014 9:00 PM",,,"YES","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG102_SAMPSON?csf=1&web=1&e=oRe8DJ"
"TRUXTUN","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 103","4/24/2009 9:00 PM","[""CNSL""]","[""C2F""]","12/6/2023 9:00 PM","3/15/2026 9:00 PM","25","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","23165","[""LANT""]",,,"10/2/2008 9:00 PM","8/9/2009 9:00 PM",,,"10/10/2013 9:00 PM","11/3/2019 9:00 PM","12/6/2023 9:00 PM",,,,,,,,,,,,,,,,,"10/19/2016 9:00 PM",,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG103_TRUXTUN?csf=1&web=1&e=OhXvQo"
"STERETT","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 104","8/8/2008 9:00 PM","[""CNSP""]","[""C3F""]","8/27/2023 9:00 PM","3/7/2027 9:00 PM","28","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","23166","[""PAC""]",,,"2/7/2008 9:00 PM","2/5/2009 9:00 PM",,,"2/13/2014 9:00 PM","8/27/2023 9:00 PM",,,,,,,,,,,,,,,,,,"2/23/2017 9:00 PM",,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG104_STERETT?csf=1&web=1&e=OJL7FL"
"DEWEY","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 105","3/5/2010 9:00 PM","[""CNSP""]","[""C7F""]","4/8/2021 9:00 PM","11/2/2025 9:00 PM","57","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","23162","[""PAC""]",,,"6/25/2009 9:00 PM","7/29/2010 9:00 PM",,,"4/27/2014 9:00 PM","4/8/2021 9:00 PM",,,,,,,,,,,,,,,,,,"10/5/2016 9:00 PM",,,"YES","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG105_DEWEY?csf=1&web=1&e=vqpeuY"
"STOCKDALE","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 106","4/17/2009 9:00 PM","[""CNSP""]","[""C3F""]","3/27/2024 9:00 PM",,"21","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","23163","[""PAC""]",,,"9/25/2008 9:00 PM","7/30/2009 9:00 PM",,,"4/8/2015 9:00 PM","8/26/2019 9:00 PM","3/24/2024 9:00 PM",,,,,,,,,,,,,,,,,,,,"NO",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG106_STOCKDALE?csf=1&web=1&e=83OJvi"
"GRAVELY","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 107","11/19/2010 9:00 PM","[""CNSL""]","[""C2F""]","11/14/2022 9:00 PM","5/6/2027 9:00 PM","38","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","23164","[""LANT""]",,,"6/24/2010 9:00 PM","5/19/2011 9:00 PM",,,"8/7/2015 9:00 PM","11/14/2022 9:00 PM",,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG107_GRAVELY?csf=1&web=1&e=kM5d63"
"WAYNE E. MEYER","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 108","10/9/2009 9:00 PM","[""CNSP""]","[""C3F""]","3/27/2022 9:00 PM","2/8/2026 9:00 PM","45","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""PEARL HARBOR, HI""]","55684","[""PAC""]",,,"6/11/2009 9:00 PM","5/13/2010 9:00 PM",,,"3/23/2016 9:00 PM","3/27/2022 9:00 PM",,,,,,,,,,,,,,,,,,"9/19/2013 9:00 PM",,,"YES","OVERDUE",,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG108_WAYNE_E_MEYER?csf=1&web=1&e=mlKSHf"
"JASON DUNHAM","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 109","11/12/2010 9:00 PM","[""CNSL""]","[""C2F""]","1/25/2024 9:00 PM","6/20/2027 9:00 PM","23","[""2""]",,"[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","55685","[""LANT""]",,,"5/20/2010 9:00 PM","4/14/2011 9:00 PM",,,"5/3/2017 9:00 PM","4/28/2021 9:00 PM","1/25/2024 9:00 PM",,,,,,,,,,,,,,,,,"7/23/2014 9:00 PM",,,"YES",,,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG109_JASON_DUNHAM?csf=1&web=1&e=IoDqAZ"
"WILLIAM P. LAWRENCE","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 110","6/3/2011 9:00 PM","[""CNSP""]","[""C3F""]","1/22/2023 9:00 PM","9/27/2026 9:00 PM","36","[""2""]",,"[""ACTIVE""]","[""YES""]","[""PEARL HARBOR, HI""]","55686","[""PAC""]",,,"1/20/2011 9:00 PM","10/27/2011 9:00 PM",,,"2/4/2015 9:00 PM","1/30/2019 9:00 PM","1/22/2023 9:00 PM",,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG110_WILLIAM_P_LAWRENCE?csf=1&web=1&e=fwDanD"
"SPRUANCE","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 111","9/30/2011 9:00 PM","[""CNSP""]","[""C3F""]","3/19/2025 9:00 PM",,"10","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","55687","[""PAC""]",,,"3/17/2011 9:00 PM","4/12/2012 9:00 PM",,,"8/1/2018 9:00 PM","10/10/2021 9:00 PM","3/19/2025 9:00 PM",,,,,,,,,,,,,,,,,"10/14/2015 9:00 PM",,,"NO",,,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG111_SPRUANCE?csf=1&web=1&e=4eqGAy"
"MICHAEL MURPHY","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 112","10/5/2012 9:00 PM","[""CNSP""]","[""C3F""]","7/10/2025 9:00 PM",,"6","[""2""]",,"[""ACTIVE""]","[""YES""]","[""PEARL HARBOR, HI""]","55688","[""PAC""]",,,"3/8/2012 9:00 PM","4/25/2013 9:00 PM",,,"9/28/2016 9:00 PM","3/27/2022 9:00 PM","7/10/2025 9:00 PM",,,,,,,,,,,,,,,,,,,,"NO",,,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG112_MICHAEL_MURPHY?csf=1&web=1&e=pH3uh1"
"JOHN FINN","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 113","7/14/2017 9:00 PM","[""CNSP""]","[""C7F""]","2/5/2023 9:00 PM","9/6/2026 9:00 PM","35","[""2""]",,"[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","20010","[""PAC""]",,,"11/2/2016 9:00 PM","11/15/2017 9:00 PM",,,"10/10/2019 9:00 PM","2/5/2023 9:00 PM",,,,,,,,,,,,,,,,,,,,,"YES",,,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG113_JOHN_FINN?csf=1&web=1&e=fLJeJa"
"RALPH JOHNSON","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 114","3/23/2018 9:00 PM","[""CNSP""]","[""C7F""]","3/8/2024 9:00 PM","8/8/2027 9:00 PM","22","[""2""]",,"[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","50125","[""PAC""]",,,"9/13/2017 9:00 PM","9/26/2018 9:00 PM",,,"3/8/2024 9:00 PM",,,,,,,,,,,,,,,,,,,,"2/10/2019 9:00 PM",,"YES",,,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG114_RALPH_JOHNSON?csf=1&web=1&e=vYlhcv"
"RAFAEL PERALTA","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 115","7/28/2017 9:00 PM","[""CNSP""]","[""C7F""]","11/10/2020 9:00 PM","11/2/2025 9:00 PM","62","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""YOKOSUKA, JAPAN""]","50126","[""PAC""]",,,"12/11/2016 9:00 PM","12/6/2017 9:00 PM","11/10/2020 9:00 PM",,"11/10/2020 9:00 PM",,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG115_RAFEAL_PERALTA?csf=1&web=1&e=8o9fvF"
"THOMAS HUDNER","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 116","11/30/2018 9:00 PM","[""CNSL""]","[""C2F""]","3/21/2024 9:00 PM","12/12/2027 9:00 PM","22","[""2""]",,"[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","50137","[""LANT""]",,,"5/2/2018 9:00 PM","5/1/2019 9:00 PM",,,"10/17/2021 9:00 PM",,,,,,,,,,,,,,,,,,,,,,"YES",,,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG116_THOMAS_HUDNER?csf=1&web=1&e=f5y1jW"
"PAUL IGNATIUS","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 117","7/26/2019 9:00 PM","[""CNSL""]","[""C6F""]","8/13/2025 9:00 PM","5/21/2028 9:00 PM","5","[""2""]",,"[""ACTIVE""]","[""YES""]","[""ROTA, SPAIN""]","50186","[""LANT""]",,,"12/19/2018 9:00 PM","12/18/2019 9:00 PM",,,,"8/13/2025 9:00 PM",,,,,,,,,,,,,,,,,,,,,"YES",,,,,"/:f:/r/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/DDG%20CASE/DDG117_PAUL_IGNATIUS?csf=1&web=1&e=yD8qQM"
"DANIEL INOUYE","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 118","12/7/2021 9:00 PM","[""CNSP""]","[""C3F""]","4/24/2022 9:00 PM",,"41","[""2""]","OVERDUE","[""ACTIVE""]","[""YES""]","[""PEARL HARBOR, HI""]","50187","[""PAC""]",,,"2/3/2021 9:00 PM","4/24/2022 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"DELBERT D. BLACK","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 119","9/25/2020 9:00 PM","[""CNSL""]","[""C2F""]","8/28/2025 9:00 PM","8/27/2028 9:00 PM","1","[""2""]",,"[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","50400","[""LANT""]",,,"3/12/2020 9:00 PM","3/3/2021 9:00 PM",,,"8/28/2025 9:00 PM",,,,,,,,,,,,,,,,,,,,,,"YES",,,,,
"CARL M. LEVIN","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 120","6/23/2023 9:00 PM","[""CNSP""]","[""C3F""]","12/14/2023 9:00 PM","9/20/2026 9:00 PM","22","[""2""]",,"[""ACTIVE""]","[""YES""]","[""PEARL HARBOR, HI""]","50401","[""PAC""]",,,"12/4/2022 9:00 PM","12/14/2023 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"YES",,,,,
"FRANK E. PETERSON","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 121","5/13/2022 9:00 PM","[""CNSP""]","[""C3F""]","10/16/2022 9:00 PM","11/16/2025 9:00 PM","36","[""2""]",,"[""ACTIVE""]","[""YES""]","[""PEARL HARBOR, HI""]","50402","[""PAC""]",,,"9/12/2021 9:00 PM","10/16/2022 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,"2/19/2023 9:00 PM",,"YES","OVERDUE",,,,
"JOHN BASILONE","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 122","11/8/2024 9:00 PM","[""CNSL""]","[""C2F/C4F""]","5/8/2025 9:00 PM",,"5","[""2""]",,"[""ACTIVE""]","[""YES""]","[""MAYPORT, FL""]","50403","[""LANT""]",,"Accepted 08 JUL 24","5/19/2024 9:00 PM","5/8/2025 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"NO",,,,,
"LENAH SUTCLIFFE HIGBEE","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 123","5/12/2023 9:00 PM","[""CNSP""]","[""C3F""]","9/24/2023 9:00 PM","7/25/2027 9:00 PM","24","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","50404","[""PAC""]",,,"9/25/2022 9:00 PM","9/24/2023 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"YES",,,,,
"HARVEY C. BARNUM JR","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 124",,"[""CNSL""]",,,"9/14/2025 9:00 PM",,,"OVERDUE",,,"[""BATH, ME""]","50405","[""UNDER CONSTRUCTION""]",,"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"JACK H. LUCAS","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 125","10/6/2023 9:00 PM","[""CNSP""]","[""C3F""]","9/12/2024 9:00 PM",,"13","[""2""]",,"[""ACTIVE""]",,"[""SAN DIEGO, CA""]","50406",,,,"5/14/2023 9:00 PM","9/12/2024 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,"NO",,,,,
"LOUIS H. WILSON JR","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 126",,"[""CNSL""]",,,"12/6/2026 9:00 PM",,,"OVERDUE",,,"[""BATH, ME""]",,"[""UNDER CONSTRUCTION""]",,"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"PATRICK GALLAGHER","[""DDG""]","[""DDG 51 (Flt 2a)""]","DDG 127",,,,,"3/1/2026 9:00 PM",,,"OVERDUE",,,"[""BATH, ME""]",,"[""UNDER CONSTRUCTION""]",,"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"TED STEVENS","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 128",,,,,"11/16/2025 9:00 PM",,,"OVERDUE",,,"[""PASCAGOULA, MS""]",,"[""UNDER CONSTRUCTION""]",,"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"JEREMIAH DENTON","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 129",,,,,"1/3/2027 9:00 PM",,,"OVERDUE",,,"[""PASCAGOULA, MS""]",,"[""UNDER CONSTRUCTION""]",,"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"WILLIAM CHARETTE","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 130",,,,,"10/19/2027 9:00 PM",,,"OVERDUE",,,"[""BATH, ME""]",,"[""UNDER CONSTRUCTION""]",,"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"GEORGE M. NEAL","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 131",,,,,"10/31/2027 9:00 PM",,,"OVERDUE",,,"[""PASCAGOULA, MS""]",,"[""UNDER CONSTRUCTION""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,
"QUENTIN WALSH","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 132",,,,,,,,"OVERDUE",,,"[""BATH, ME""]",,"[""UNDER CONSTRUCTION""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"SAM NUNN","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 133",,,,,,,,"OVERDUE",,,"[""PASCAGOULA, MS""]",,"[""UNDER CONSTRUCTION""]",,"AT",,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"JOHN E. KILMER","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 134",,,,,,,,"OVERDUE",,,"[""BATH, ME""]",,"[""UNDER CONSTRUCTION""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"THAD COCHRAN","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 135",,,,,,,,"OVERDUE",,,"[""PASCAGOULA, MS""]",,"[""AUTHORIZED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"RICHARD G. LUGAR","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 136",,,,,,,,"OVERDUE",,,"[""BATH, ME""]",,"[""AUTHORIZED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"JOHN F. LEHMAN","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 137",,,,,,,,"OVERDUE",,,"[""PASCAGOULA, MS""]",,"[""AUTHORIZED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"J. WILLIAM MIDDENDORF","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 138",,,,,,,,"OVERDUE",,,"[""BATH, ME""]",,"[""AUTHORIZED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"TELESFORO TRINIDAD","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 139",,,,,,,,"OVERDUE",,,"[""PASCAGOULA, MS""]",,"[""AUTHORIZED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"THOMAS G. KELLEY","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 140",,,,,,,,"OVERDUE",,,"[""BATH, ME""]",,"[""AUTHORIZED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"ERNEST E. EVANS","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 141",,,,,,,,"OVERDUE",,,"[""PASCAGOULA, MS""]",,"[""PLANNED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"NO NAME","[""DDG""]","[""DDG 51 (Flt 3)""]","DDG 142",,,,,,,,"OVERDUE",,,"[""PASCAGOULA, MS""]",,"[""PLANNED""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NO","OVERDUE",,,,
"ARLEIGH BURKE","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 51","7/3/1991 9:00 PM","[""CNSL""]","[""C6F""]","10/23/2025 9:00 PM",,"0","[""2""]",,"[""ACTIVE""]","[""YES""]","[""ROTA, SPAIN""]","21487","[""LANT""]",,,,,,,"6/15/2000 9:00 PM","9/23/2004 9:00 PM","3/5/2009 9:00 PM","10/31/2013 9:00 PM","12/12/2017 9:00 PM","5/8/2022 9:00 PM","10/23/2025 9:00 PM",,,,,,,,,,,,,,,,"NO",,,,,
"BARRY","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 52","12/11/1992 9:00 PM","[""CNSP""]","[""C3F""]","10/15/2023 9:00 PM","10/15/2023 9:00 PM","24","[""2""]",,"[""ACTIVE""]","[""YES""]","[""EVERETT, WA""]","21660","[""PAC""]",,"OCIR FY28",,,,,"4/17/1997 9:00 PM","3/14/2002 9:00 PM","3/22/2007 9:00 PM","12/2/2015 9:00 PM","11/17/2019 9:00 PM","10/15/2023 9:00 PM",,,,,,,,,,,,,,"1/9/2013 9:00 PM",,,"YES",,,,,
"JOHN PAUL JONES","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 53","12/17/1993 9:00 PM","[""CNSP""]","[""C3F""]","10/1/2025 9:00 PM",,"0","[""2""]",,"[""ACTIVE""]","[""YES""]","[""EVERETT, WA""]","21313","[""PAC""]",,"OCIR FY28",,,,,"10/22/1998 9:00 PM","5/1/2003 9:00 PM","12/13/2007 9:00 PM","2/27/2014 9:00 PM","11/7/2019 9:00 PM","10/1/2025 9:00 PM",,,,,,,,,,,,,,,,,"NO",,,,,
"CURTIS WILBUR","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 54","3/18/1994 9:00 PM","[""CNSP""]","[""C3F""]","8/15/2024 9:00 PM","8/13/2028 9:00 PM","14","[""2""]",,"[""ACTIVE""]","[""YES""]","[""SAN DIEGO, CA""]","21640","[""PAC""]",,,,,,,"3/7/2002 9:00 PM","7/22/2007 9:00 PM","5/2/2013 9:00 PM","5/13/2019 9:00 PM","4/17/2022 9:00 PM","8/15/2024 9:00 PM",,,,,,,,,,,,,,,,,"YES",,,,,
"STOUT","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 55","8/12/1994 9:00 PM","[""CNSL""]","[""C2F""]","5/22/2024 9:00 PM","6/20/2027 9:00 PM","17","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21685","[""LANT""]",,,,,,,"6/27/1999 9:00 PM","5/8/2003 9:00 PM","3/13/2008 9:00 PM","12/6/2012 9:00 PM","2/20/2019 9:00 PM","5/19/2024 9:00 PM",,,,,,,,,,,,,,"9/1/2015 9:00 PM",,,"YES",,,,,
"JOHN S. MCCAIN","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 56","7/1/1994 9:00 PM","[""CNSP""]","[""C3F""]","12/17/2024 9:00 PM",,"10","[""2""]",,"[""ACTIVE""]","[""YES""]","[""EVERETT, WA""]","21686","[""PAC""]",,,,,,,"12/12/2002 9:00 PM","10/18/2007 9:00 PM","6/14/2012 9:00 PM","9/20/2012 9:00 PM","9/24/2020 9:00 PM","12/17/2024 9:00 PM",,,,,,,,,,,,,,"5/24/2017 9:00 PM",,,"NO",,,,,
"MITSCHER","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 57","12/9/1994 9:00 PM","[""CNSL""]","[""C2F""]","12/5/2024 9:00 PM","4/9/2028 9:00 PM","10","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21687","[""LANT""]",,,,,,,"4/13/2000 9:00 PM","4/15/2004 9:00 PM","7/16/2014 9:00 PM","7/18/2018 9:00 PM","12/5/2021 9:00 PM","12/5/2024 9:00 PM",,,,,,,,,,,,,,,,,"YES",,,,,
"LABOON","[""DDG""]","[""DDG 51 (Flt 1)""]","DDG 58","3/17/1995 9:00 PM","[""CNSL""]","[""C2F""]","5/30/2023 9:00 PM","2/7/2027 9:00 PM","28","[""2""]",,"[""ACTIVE""]","[""YES""]","[""NORFOLK, VA""]","21820","[""LANT""]",,,,,,,"11/4/1999 9:00 PM","4/1/2004 9:00 PM","12/4/2008 9:00 PM","12/3/2014 9:00 PM","5/30/2023 9:00 PM",,,,,,,,,,,,,,,"9/21/2016 9:00 PM",,,"YES",,,,,
